,article_id,author,writer,category,number_of_comments,timestamp,title,article_link
97,252302,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,0,2020-09-06 07:59:06+00:00,اسبانيا.. رصاصة في الرأس تنهي حياة شاب مغربي,https://ar.hibapress.com/details-252302.html
98,252309,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,0,2020-09-06 08:28:39+00:00,حرائق كاليفورنيا.. النيران تلتهم أزيد من 600 الف هكتار,https://ar.hibapress.com/details-252309.html
99,252204,هبة بريس – وكالات,ل.أبروك,بلا حدود,5,2020-09-05 15:35:15+00:00,أردوغان: تركيا القوية مستعدة لتقاسم ثروات المتوسط بعدل,https://ar.hibapress.com/details-252204.html
100,252319,هبة بريس-,ismail bouyakoubi,بلا حدود,0,2020-09-06 09:06:46+00:00,أكبر حصيلة عالمية يومية.. الهند تسجل 90632 إصابة بكورونا,https://ar.hibapress.com/details-252319.html
101,252382,هبة بريس- متابعة,ismail bouyakoubi,بلا حدود,2,2020-09-06 14:45:40+00:00,حينما قال قايد سبسي :”أملنا ألا يقضي الارهاب على تونس”,https://ar.hibapress.com/details-252382.html
102,252332,هبة بريس- متابعة,ismail bouyakoubi,بلا حدود,1,2020-09-06 09:59:20+00:00,اتهامات الفساد تصل محيط الجنرال قايد صالح ، ماذا يجري في الجزائر؟,https://ar.hibapress.com/details-252332.html
103,252626,هبة بريس ـ وكالات,عبد الله عياش,بلا حدود,0,2020-09-07 18:46:44+00:00,إصابات كورونا في إسبانيا تتجاوز الـ500 ألف,https://ar.hibapress.com/details-252626.html
104,252596,هبة بريس ـ متابعة,ي.الضميري,بلا حدود,8,2020-09-07 16:33:24+00:00,في رسالة غريبة.. منظمة الصحة تدعو دول العالم للاستعداد ل”جائحة مقبلة”,https://ar.hibapress.com/details-252596.html
105,252338,هبة بريس-,ismail bouyakoubi,بلا حدود,0,2020-09-06 10:13:28+00:00,اعتداء ارهابي… مقتل ثلاثة مهاجمين وعنصر واحد من الحرس الوطني بتونس,https://ar.hibapress.com/details-252338.html
106,252629,هبة بريس ـ وكالات,عبد الله عياش,بلا حدود,0,2020-09-07 19:06:59+00:00,إيطاليا.. التجارب السريرية على اللقاح المضاد لـ”كورونا” حققت نتائج “واعدة”,https://ar.hibapress.com/details-252629.html
107,242924,هبة بريس,ل.أبروك,مهجر,5,2020-07-15 16:39:30+00:00,لارام: الأسعار المحددة تمت دراستها بعناية و أقل من نظيرتها التنافسية,https://ar.hibapress.com/details-242924.html
108,252507,هبة بريس ـ متابعة,ي.الضميري,بلا حدود,0,2020-09-07 09:14:36+00:00,ترامب يواصل إثارة الجدل: “عليكم طرد هاته الصحافية من قناتكم”,https://ar.hibapress.com/details-252507.html
109,242857,هبة بريس _ يسير الإيحيائي ,ل.أبروك,مهجر,0,2020-07-15 11:16:12+00:00,أزمة المياومات تجد طريقها إلى الحل عبر بواخر خاصة ستبحر من ميناء “هويلبا”,https://ar.hibapress.com/details-242857.html
110,252650,هبة بريس,عبد الله عياش,بلا حدود,0,2020-09-07 21:52:58+00:00,اليونان.. 17 إصابة بفيروس كورونا في مخيم للاجئين,https://ar.hibapress.com/details-252650.html
111,252180,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-05 13:18:32+00:00,موريتانيا.. انهيار عشرات المنازل جراء الفيضانات والجيش يجلي المواطنين,https://ar.hibapress.com/details-252180.html
112,243128,هبة بريس ـ الرباط ,عبد الله عياش,مهجر,3,2020-07-16 17:12:17+00:00,فريق برلماني يُسائل العثماني عن معاناة مغاربة الخارج مع اختبارات “كورونا”,https://ar.hibapress.com/details-243128.html
113,243234,هبة بريس,ل.أبروك,مهجر,0,2020-07-17 12:07:43+00:00,قنصلية المغرب باسطنبول تكشف تفاصيل إيواء وترحيل المواطنين العالقين,https://ar.hibapress.com/details-243234.html
114,243051,هبة بريس,ل.أبروك,مهجر,2,2020-07-16 09:57:43+00:00,تجهيز سفينتين لإعادة المغاربة والأجانب القاطنين بالمغرب إلى أرض الوطن,https://ar.hibapress.com/details-243051.html
115,243013,هبة بريس ـ الرباط ,عبد الله عياش,مهجر,1,2020-07-15 21:59:56+00:00,“لارام ” تشرع في تنفيذ برنامج رحلاتها الخاصة من وإلى المغرب,https://ar.hibapress.com/details-243013.html
116,243252,هبة بريس – الدار البيضاء ,ل.أبروك,مهجر,1,2020-07-17 14:22:22+00:00,يهم المغاربة العالقين.. فرنسا تمدد صلاحية التأشيرات المنتهية لأشهر إضافية,https://ar.hibapress.com/details-243252.html
117,243334,هبة بريس ـ الناظور ,عبد الله عياش,مهجر,1,2020-07-17 21:30:25+00:00,اغلاق ميناء “سات الفرنسي ” يُغضب مغاربة بميناء بني انصار,https://ar.hibapress.com/details-243334.html
118,243410,هبة بريس _ يسير الإيحيائي ,ل.أبروك,مهجر,0,2020-07-18 14:09:41+00:00,إسبانيا .. ترحيل الدفعة الأولى للمياومات نحو الوطن,https://ar.hibapress.com/details-243410.html
119,243609,هبة بريس ـ و م ع ,عبد الله عياش,مهجر,3,2020-07-19 15:11:27+00:00,طنجة المتوسط : عودة الفوج الأول من العاملات المغربيات الموسميات من إقليم هويلبا,https://ar.hibapress.com/details-243609.html
120,243649,هبة بريس- و م ع,ismail bouyakoubi,مهجر,0,2020-07-19 18:27:04+00:00,عيد الأضحى بفرنسا.. سياق الجائحة يستدعي “أكبر قدر من اليقظة”,https://ar.hibapress.com/details-243649.html
121,243478,هبة بريس- و م ع,ismail bouyakoubi,مهجر,1,2020-07-18 18:49:43+00:00,إطلاق برنامج إعادة 7100 من عاملات “الفرولة” المغربيات باسبانيا,https://ar.hibapress.com/details-243478.html
122,243488,هبة بريس- مكتب طنجة,ismail bouyakoubi,مهجر,1,2020-07-18 19:59:01+00:00,قادمة من إيطاليا.. الغموض يلفّ منع باخرة من دخول ميناء طنجة المتوسط,https://ar.hibapress.com/details-243488.html
123,243939,عبد اللطيف الباز / إيطاليا                                  ,ل.أبروك,مهجر,0,2020-07-21 10:07:38+00:00,ايطاليا: ارتياح كبير حول عملية نقل المغاربة العالقين الى أرض الوطن,https://ar.hibapress.com/details-243939.html
124,243521,هبة بريس- الرباط,ismail bouyakoubi,مهجر,0,2020-07-18 22:52:50+00:00,قُنصل المملكة ب”مونبلييه” يشرف على عملية عودة المغاربة عبر ميناء “سات”,https://ar.hibapress.com/details-243521.html
125,244189, عبد اللطيف الباز/ إيطاليا                                                                      ,ل.أبروك,مهجر,0,2020-07-22 16:44:22+00:00,ايطاليا : تفاصيل توقيف مهاجر مصري تسبب في قتل مواطن مغربي,https://ar.hibapress.com/details-244189.html
126,244609,هبة بريس ,عبد الله عياش,مهجر,0,2020-07-24 21:27:38+00:00,توقيع اتفاقية تعاون بين غرفة التجارة والصناعة لسوس ماسة وقنصلية المملكة ببلباو,https://ar.hibapress.com/details-244609.html
127,252281,هبة بريس ـ وكالات,ي.الضميري,بلا حدود,4,2020-09-05 21:46:11+00:00,أردوغان يهدد اليونان ويؤكد: “تركيا مستعدة لكل الاحتمالات و جاهزة لكل النتائج”,https://ar.hibapress.com/details-252281.html
128,244793,هبة بريس-  ايطاليا,ismail bouyakoubi,مهجر,0,2020-07-25 21:21:26+00:00,إيطاليا ..مراسيم تأبين المغربية وأبنائها ضحايا إنهيار الإفريز الخرساني,https://ar.hibapress.com/details-244793.html
129,245513,هبة بريس _ يسير الإيحيائي _,عبد الله عياش,مهجر,0,2020-07-29 22:19:07+00:00,المغرب يرحل آخر دفعة من المياومات نحو ميناء طنجة المتوسط,https://ar.hibapress.com/details-245513.html
130,245642,هبة بريس ـ و م ع ,عبد الله عياش,مهجر,0,2020-07-30 19:54:29+00:00,عتمون : المغرب وبولونيا رمزان حقيقيان للتسامح وتلاقح الثقافات,https://ar.hibapress.com/details-245642.html
131,244626,هبة بريس ـ وكالات ,عبد الله عياش,مهجر,0,2020-07-24 23:19:49+00:00,البرازيل تسجل 1156 وفاة جديدة بفيروس كورونا,https://ar.hibapress.com/details-244626.html
132,245645,هبة بريس ـ الرباط,عبد الله عياش,مهجر,0,2020-07-30 20:05:06+00:00,حوالي 20 مغربيا عالقين بنيجيريا يعودون إلى أرض الوطن,https://ar.hibapress.com/details-245645.html
133,245670,هبة بريس ـ الرباط,عبد الله عياش,مهجر,5,2020-07-30 22:21:02+00:00,وزير الخارجية يعطي أوامره باسترجاع جثة مغربي توفي غرقا بنهر بباريس,https://ar.hibapress.com/details-245670.html
134,246344,هبة بريس ـ الصورة تعبيرية ,عبد الله عياش,مهجر,1,2020-08-03 19:00:36+00:00,مطالب برلمانية بفتح الحدود أمام جثامين مغاربة العالم,https://ar.hibapress.com/details-246344.html
135,244329,هبة بريس _ يسير الإيحيائي ,ل.أبروك,مهجر,0,2020-07-23 12:54:34+00:00,هويلفا: إنطلاق الرحلة البحرية الثالثة زوال اليوم وعلى متنها 1024 عاملة موسمية,https://ar.hibapress.com/details-244329.html
136,246476,هبة بريس                                                                                    ,ل.أبروك,مهجر,0,2020-08-04 13:28:38+00:00,سفير المغرب بروما يؤكد على تعزيز العلاقات المشتركة بين إيطاليا والمغرب,https://ar.hibapress.com/details-246476.html
137,246811,هبة بريس ـ الرباط,عبد الله عياش,مهجر,0,2020-08-05 23:31:46+00:00,تنظيم الجامعة الصيفية لفائدة الشباب المغاربة المقيمين بالخارج افتراضياً,https://ar.hibapress.com/details-246811.html
138,246596,هبة بريس ـ الرباط,عبد الله عياش,مهجر,0,2020-08-04 22:20:49+00:00,اصابة مواطنة مغربية في الانفجار الذي ضرب العاصمة بيروت,https://ar.hibapress.com/details-246596.html
139,246579,هبة بريس ـ الرباط ,عبد الله عياش,مهجر,0,2020-08-04 21:08:33+00:00,انفجار بيروت.. السفارة المغربية بلبنان تتابع أوضاع الجالية,https://ar.hibapress.com/details-246579.html
140,247078,هبة بريس,ل.أبروك,مهجر,1,2020-08-07 11:20:55+00:00,سفارة المغرب في لبنان تنظم رحلتين للراغبين في العودة الى الوطن,https://ar.hibapress.com/details-247078.html
