article_id,author,category,number_of_comments,timestamp,title
474951,هسبريس - وائل بورشاشن,tamazight,(44),الأربعاء 17 يونيو 2020 - 07:00,هكذا نقل المختار السوسي نفائس أمثال أمازيغية إلى لغة الضّاد
475931,هسبريس - محمد الراجي,tamazight,(9),الأربعاء 24 يونيو 2020 - 14:50,بوكوس: غياب الأمازيغية في بطاقة التعريف يُخل باحترام الدستور
475869,كمال الوسطاني,tamazight,(10),الأربعاء 24 يونيو 2020 - 06:18,بث برامج الإذاعة الأمازيغية يمتد على مدار الساعة‎
474927,هسبريس - مصطفى شاكري,tamazight,(117),الثلاثاء 16 يونيو 2020 - 05:00,"مشروع قانون ""البطاقة الوطنية"" يطرح ""مصالحة الهوية الأمازيغية"""
475923,هسبريس - محمد الراجي (صور: منير محيمدات),tamazight,(103),الأربعاء 24 يونيو 2020 - 15:00,وزارة العدل تتيح إمكانية النطق بالأحكام القضائية باللغة الأمازيغية
476066,هسبريس من الرباط,tamazight,(41),الجمعة 26 يونيو 2020 - 09:24,"""تجاهل"" الأمازيغية يوتر علاقة الحكومة والمعارضة"
476607,صالح الخزاعي من خريبكة,tamazight,(74),الأربعاء 01 يوليوز 2020 - 09:30,طالب جامعي يترجم النشيد المغربي إلى الأمازيغية
475824,هسبريس - نورالدين إكجان,tamazight,(179),الخميس 25 يونيو 2020 - 11:00,القائدان أكسيل وعقبة يثيران صدام سلفيين ومدافعين عن الأمازيغ‬ية
476227,هسبريس من الرباط,tamazight,(94),الأحد 28 يونيو 2020 - 03:25,مقترح قانون يتيح استعمال اللغة الأمازيغية في وثيقة الحالة المدنية
477345,هسبريس - محمد الراجي,tamazight,(36),السبت 11 يوليوز 2020 - 22:00,"""أغْگمّي"" وبناء الطين .. سلاح الأمازيغ أمام الحرِّ والقرِّ في الجبال"
477121,هسبريس من الرباط,tamazight,(54),الاثنين 06 يوليوز 2020 - 07:00,"مؤلف يرصد علاقة ""المهاجرين السوسيين الأوائل"" في مدن المملكة"
477126,هسبريس من الرباط,tamazight,(42),الأربعاء 08 يوليوز 2020 - 03:00,العقل السياسي الأمازيغي المعاصر .. وفاء للفكرة وإخلاص للموقف
478050,هسبريس من الرباط,tamazight,(29),الثلاثاء 14 يوليوز 2020 - 17:46,معهد الثقافة الأمازيغية يفتح الترشّح للجائزة الوطنية
477994,هسبريس من الرباط,tamazight,(25),الثلاثاء 14 يوليوز 2020 - 03:00,"الحسين الباز .. حنجرة ذهبية بارَزت أساطير ""تيرويْسا"" في سوس"
